1279,157,25.00,2021-04-16 18:15:38,49253
108,158,35.00,2021-01-08 12:06:40,NULL
105,159,35.85,2020-12-30 19:39:01,NULL
122,159,32.64,2021-01-13 20:39:46,NULL
1368,160,36.38,2021-07-02 19:31:25,68421
2203,160,13.62,2024-01-12 19:19:11,338202
166,161,25.00,2021-02-16 19:53:54,NULL
97,163,21.55,2020-12-23 17:41:48,NULL
98,163,3.21,2020-12-23 17:47:58,NULL
1371,164,25.00,2021-07-03 17:28:20,68821
102,165,25.00,2020-12-29 20:18:31,NULL
104,166,15.00,2020-12-30 16:40:48,NULL
106,168,30.00,2021-01-02 14:03:01,NULL
107,169,40.00,2021-01-02 15:56:06,NULL
109,170,17.12,2021-01-08 17:22:10,NULL
157,170,22.88,2021-02-09 18:49:01,NULL
110,171,25.00,2021-01-08 18:08:41,NULL
112,172,40.00,2021-01-08 18:26:43,NULL
114,173,17.12,2021-01-08 19:42:29,NULL
127,173,16.05,2021-01-15 20:26:05,NULL
134,173,6.83,2021-01-22 20:17:04,NULL
1320,174,48.79,2021-05-01 18:55:36,53674
1322,174,1.21,2021-05-01 19:43:39,53719
116,175,16.59,2021-01-09 16:30:28,NULL
1271,175,8.41,2021-04-14 16:58:27,48656
117,176,20.00,2021-01-09 16:53:11,NULL
118,177,42.80,2021-01-09 18:00:32,NULL
1305,177,7.20,2021-04-23 18:28:57,51028
208,178,20.00,2021-03-16 19:35:10,NULL
121,179,25.00,2021-01-13 20:20:28,NULL
126,180,40.00,2021-01-15 17:01:03,NULL
1352,181,75.00,2021-06-11 20:32:14,63236
128,182,15.68,2021-01-16 18:05:30,NULL
131,183,34.24,2021-01-21 18:45:17,NULL
174,183,5.76,2021-02-23 18:30:16,NULL
132,184,25.00,2021-01-22 11:18:13,NULL
133,185,9.63,2021-01-22 14:28:12,NULL
135,186,20.00,2021-01-22 20:25:58,NULL
137,187,40.00,2021-01-23 18:36:06,NULL
138,188,38.84,2021-01-23 22:05:06,NULL
1307,188,41.16,2021-04-23 19:57:53,51145
139,189,19.80,2021-01-26 14:20:09,NULL
141,190,25.00,2021-01-28 17:41:41,NULL
142,191,31.03,2021-01-29 16:35:45,NULL
188,191,8.97,2021-03-05 17:49:05,NULL
143,192,25.00,2021-01-29 17:34:52,NULL
144,193,40.00,2021-01-29 18:52:05,NULL
147,194,6.00,2021-01-30 19:03:59,NULL
148,195,19.00,2021-01-30 20:19:46,NULL
149,196,11.02,2021-02-02 11:59:35,NULL
