OrderId,CustomerId,ReadyDateTimeInfo,LocationInfo,DeliveryDateTime,EmployeeIdOfDriver,IsOffSite,ManagerNote,NumPeople,PricePerPerson,PriceAdjust,DeliveryFee,MiscFee,ServiceFeePercent,TaxPriceAdjust,NumPizzaPeople,NumSaladPeople,NumDessertPeople,PricePerPizzaPerson,PricePerSaladPerson,PricePerDessertPerson,DoughCount,DressingCount,DessertCount,KitchenPrepNote,DessertNote,LSENote
202622,140,CANCELLED,IT IS ALL CANCELLED,2022-11-09 11:45:34.7560000,NULL,0,,0.00,0.00,0.00,0.00,0.00,15.00,0,0.00,0.00,0.00,9.00,3.00,2.50,16,4,,,,
203236,179,HIllary,Under The Plane,2022-11-11 17:30:49.5810000,NULL,0,,0.00,0.00,0.00,0.00,100.00,20.00,0,30.00,30.00,0.00,9.00,3.00,2.50,9,3,,,,Guests buy their own drinks - no bar tab
203314,180,Brian,Dentistry School,2022-11-10 11:00:32.5670000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,27.00,0.00,0.00,9.00,3.00,2.50,10,,,NO SALAD,,
203594,181,Under The Plane,Carolina 917-355-2504,2022-11-12 14:30:33.5600000,NULL,0,,0.00,0.00,0.00,0.00,100.00,20.00,0,30.00,25.00,0.00,9.00,3.00,2.50,8,2,,,should be bringing own cake,"RUN a bar tab! to add drinks go in menu, then drinks!"
204119,170,Brian,Newell,2022-11-18 11:00:37.8280000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,50.00,0.00,0.00,9.00,3.00,2.50,15,,,NO SALAD,,
204131,182,PICK UP DONATION,Tamara picking up,2022-11-18 13:45:43.1790000,NULL,0,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,9.00,3.00,2.50,10,,,NO SALAD,,
204159,183,PICK UP 4:45,352-284-1811,2022-11-12 16:45:21.2200000,NULL,0,,0.00,0.00,0.00,0.00,0.00,15.00,0,21.00,0.00,0.00,9.00,3.00,2.50,8,,,NO SALAD,,
205327,184,Brian,1600 SW Archer Rd,2022-11-16 11:10:01.7870000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,35.00,35.00,0.00,9.00,3.00,2.50,10,2,,,,
205537,185,PICK UP ANNA DONATION,910-894-3441,2022-11-16 17:45:56.2630000,NULL,0,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,9.00,3.00,2.50,5,,,CATER CUT PLEASE - NO SALAD,,
205605,186,Erienne,Cypress & Grove,2022-11-18 17:30:59.8800000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,90.00,90.00,0.00,9.00,3.00,2.50,24,6,,,,
206018,187,UNDER THE PLANE,D 954-815-2607,2022-11-23 18:00:58.2440000,NULL,0,,0.00,0.00,0.00,0.00,100.00,20.00,0,14.00,14.00,0.00,9.00,3.00,2.50,4,1,,,,
206286,138,Brian/Satchel?,Florida Credit Union,2022-11-25 11:10:40.1270000,NULL,0,,0.00,0.00,0.00,30.00,0.00,20.00,0,128.00,120.67,0.00,9.00,3.00,2.50,33,8,,Two reg cut slices in each box                  4 trays of salad                                         Satchel will fill indiv dressings,,
207238,188,Brian,Purvis Gray,2022-11-22 11:30:07.7210000,NULL,0,,0.00,0.00,0.00,0.00,0.00,15.00,0,13.00,2.00,0.00,9.00,3.00,2.50,,,,,,
208904,189,ZACK!,Weimer Hall,2022-11-30 17:10:58.8690000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,16.00,16.00,0.00,9.00,2.98,2.50,6,1,,,,
208925,190,BRIAN,Springhill,2022-12-02 11:15:45.3120000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,25.00,25.00,0.00,9.00,3.00,2.50,7,2,,,,
209124,70,"UTP, Party Booth, etc",Jared 352-281-9535,2022-12-09 19:45:21.3970000,NULL,0,,0.00,0.00,0.00,0.00,250.00,20.00,0,45.00,45.00,45.00,9.00,3.00,2.50,12,4,100,,,
209179,191,PICK UP,PICK UP SARA,2022-12-01 11:00:34.3130000,NULL,0,,0.00,0.00,0.00,0.00,0.00,15.00,0,30.00,30.00,0.00,9.00,3.00,2.50,11,3,,,,
209756,66,"Under The Plane, etc",,2022-12-08 11:30:29.8950000,NULL,0,,0.00,0.00,0.00,0.00,150.00,20.00,0,50.00,50.00,50.00,9.00,3.00,2.50,14,5,100,,"cookies, bonbons and brownies please",Guests buy their own drinks  - no bar tab
209761,170,BRIAN,HArrell Med Bldg,2022-12-09 11:00:49.7500000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,50.00,0.00,0.00,9.00,3.00,2.50,13,0,,NO SALAD,,
210704,192,"Bonnie ",UTP,2022-12-10 20:00:59.4500000,NULL,0,,0.00,0.00,0.00,0.00,100.00,20.00,0,20.00,20.00,20.00,9.00,3.00,2.50,6,1,45,,,OPEN BAR TAB - PERSIMMON
210888,193,PICK UP - cash out due dir dep,352-478-1705,2022-12-09 11:15:48.7550000,NULL,0,,0.00,0.00,0.00,0.00,0.00,15.00,0,15.00,15.00,0.00,9.00,3.00,2.50,4,1,,,,
211243,194,Gracy,,2022-12-10 11:30:16.6900000,NULL,0,,0.00,0.00,0.00,0.00,0.00,15.00,0,11.00,11.00,0.00,9.00,3.00,2.50,4,1,,,,
211244,195,DONATION UF Horticulture,PICK UP,2022-12-09 11:44:56.6340000,NULL,0,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,9.00,3.00,2.50,6,,,NO SALAD,,
211245,203,Browning to pay ask Satch,615-838-6931,2022-12-14 11:00:03.4400000,NULL,0,,0.00,0.00,0.00,0.00,0.00,15.00,0,24.00,19.00,0.00,9.00,3.00,2.50,9,2,,,,
211246,197,859-333-1656,,2022-12-13 11:15:31.4900000,NULL,0,,0.00,0.00,0.00,0.00,0.00,15.00,0,20.00,20.00,0.00,9.00,3.00,2.50,6,1,,,,
211253,198,,,2022-12-08 11:16:30.4972258,NULL,0,,0.00,0.00,0.00,0.00,150.00,20.00,0,50.00,50.00,50.00,9.00,3.00,2.50,,,,,,
211414,204,CHRIS,Due from DD - cash out please,2022-12-14 16:45:36.9200000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,30.00,30.00,0.00,9.00,3.00,2.50,8,2,,,,
211416,200,TOSS the PREVIOUS TIX please,Due from DD,2022-12-15 23:45:43.6870000,NULL,0,,0.00,0.00,0.00,0.00,150.00,20.00,0,30.00,30.00,30.00,9.00,3.00,4.00,9,2,70,,,NO BAR TAB - iced tea and lemonade included
212840,201,BRIAN,Erienne cash out card in box,2022-12-14 11:20:13.3540000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,18.00,18.00,0.00,9.00,3.00,2.50,5,1,,,,
212878,202,Party Booth 2-5p,,2022-12-17 14:30:52.1230000,NULL,0,,0.00,0.00,0.00,0.00,50.00,20.00,0,12.00,12.00,12.00,9.00,3.00,2.50,3,1,25,,,
212934,205,greenhouse,long table 7:30-10,2022-12-17 20:00:24.9380000,NULL,0,,0.00,0.00,0.00,0.00,75.00,20.00,0,12.00,12.00,12.00,9.00,3.00,3.00,4,1,,,THEY WANT EIGHT CANNOLIS PLEASE,
214979,206,Steve Raye,DONATION for BROWNING,2022-12-23 23:55:43.3210000,NULL,0,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,9.00,3.00,2.50,,,,,,
215742,207,PICK UP,Let her borrow 2 bags,2022-12-23 17:30:45.6560000,NULL,0,,0.00,0.00,0.00,0.00,0.00,15.00,0,25.00,25.00,0.00,9.00,3.00,2.50,10,2,,,,
217078,208,352-278-1244,Under The Plane,2022-12-29 17:45:47.2800000,NULL,0,,0.00,0.00,0.00,0.00,100.00,20.00,0,30.00,30.00,0.00,9.00,3.00,2.50,10,2,,,,RUN A BAR TAB m- will get pitchers and bottles
217453,209,Under the Plane,DO ART,2022-12-30 17:30:26.6170000,NULL,0,,0.00,0.00,0.00,0.00,50.00,20.00,0,15.00,15.00,0.00,9.00,3.00,2.50,4,1,,,,
218462,210,UNDER THE PLANE,352-222-1750,2023-01-07 19:45:53.7130000,NULL,0,,0.00,0.00,0.00,0.00,100.00,20.00,0,20.00,20.00,20.00,9.00,3.00,2.50,6,2,40,I cannot get rid of veggie pizzas and one roni/sausage - adjusted to 6 pizzas COVID strikes again!,,RUN A BAR TAB
