102,Pesto Inside,168.00,0.80,Pesto Inside,Pesto Inside,0,0,0,0,0,1,0,0,0,1,0,0,3,0.00,0,1
104,Extra Nuts & Seeds,80.00,0.00,Extra Nuts & Seeds,Extra Nuts & Seeds,0,0,0,0,0,0,1,0,0,1,0,0,7,0.00,0,1
105,Extra Cheese,75.10,39.50,Extra Cheese,Extra Cheese,0,1,0,0,1,0,0,0,0,0,0,0,1,0.00,0,1
106,Out Now,0.00,0.00,Out Now,Out Now,0,0,0,0,0,0,0,0,0,1,0,0,7,0.00,0,1
107,Sliced (Apples),0.00,0.00,Sliced,Sliced,0,0,0,0,0,0,0,0,0,1,0,0,7,0.00,0,1
108,Diced (Apples),0.00,0.00,Diced,Diced,0,0,0,0,0,0,0,0,0,1,0,0,7,0.00,0,1
109,Hot (Side),0.00,0.00,Hot,Hot,0,0,0,0,0,0,0,0,0,1,0,0,7,0.00,0,1
110,Cold (Side),0.00,0.00,Cold,Cold,0,0,0,0,0,0,0,0,0,1,0,0,7,0.00,0,1
111,Ferenbacher Hot Rope,0.50,0.15,Ferenbacher Hot Rope,Ferenbacher Hot Rope,0,0,0,0,0,1,0,0,0,0,0,0,3,0.00,0,1
115,Tempeh Sausage,236.00,23.50,Tempeh Sausage,Tempeh Sausage,0,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
116,Tempeh Chorizo,232.00,25.00,Tempeh Chorizo,Tempeh Chorizo,0,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
117,"No Cheese, Add Daiya",0.00,0.00,"No Cheese, Add Daiya","No Cheese, Add Daiya",0,0,0,0,0,0,1,0,0,0,0,0,1,1.00,0,0
118,"No Cheese, Add Follow Ur Heart",0.00,0.00,"No Cheese, Add Follow Ur Heart","No Cheese, Add Follow Ur Heart",0,0,0,0,0,0,1,0,0,0,0,0,1,2.00,1,1
119,Myokos with Cheese,152.00,0.00,Myokos with Cheese,Myokos with Cheese,0,0,0,0,1,1,0,0,0,0,0,0,3,0.00,1,0
120,Myokos NO CHEESE,152.00,0.00,Myokos NO CHEESE,Myokos NO CHEESE,0,0,0,0,1,1,0,0,0,0,0,0,3,0.00,1,1
121,Tammy Ranch,301.00,40.00,Tammy Ranch,Tammy Ranch,0,0,0,0,1,1,1,0,0,0,0,0,4,2.00,1,1
122,Ranch instead of P. Sauce,303.00,1.00,Ranch instead of P. Sauce,Ranch instead of P. Sauce,0,0,0,0,0,1,0,0,0,0,0,0,7,0.00,1,1
123,Ranch instead of Dressing,303.00,0.00,Ranch instead of Dressing,Ranch instead of Dressing,0,0,0,0,0,0,1,0,0,0,0,0,7,0.00,1,1
124,"Vegan Cheese for Spec Salad ",0.00,0.00,"Vegan Cheese for Spec Salad ","Vegan Cheese for Spec Salad ",0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,1,1
125,Vegan Cheese for Small Salad,0.00,0.00,Vegan Cheese for Small Salad,Vegan Cheese for Small Salad,0,0,0,0,0,0,1,0,0,0,0,0,1,2.00,1,1
126,Vegan Cheese for Large Salad,0.00,0.00,Vegan Cheese for Large Salad,Vegan Cheese for Large Salad,0,0,0,0,0,0,1,0,0,0,0,0,1,4.00,1,1
127,Two Tammy Ranch,302.00,41.00,Two Tammy Ranch,Two Tammy Ranch,0,0,0,0,1,1,1,0,0,0,0,0,4,4.00,1,1
